model,accuracy,precision,recall,f1,roc_auc
Linear SVM (Tuned),0.8506026761030632,0.4268597104343485,0.8081285444234405,0.5586409670042469,0.9076569607712003
Linear SVM (Baseline),0.8504920933318589,0.42657342657342656,0.8071833648393195,0.5581699346405229,0.9076564872936378
Logistic Regression (Baseline),0.8455158686276678,0.4176784847013113,0.8128544423440454,0.5518126403593199,0.9079248307021789
Decision Tree (Baseline),0.878358951675329,0.4786150712830957,0.444234404536862,0.46078431372549017,0.6900570895570973
